title,authors,publication_date,venue,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
Nearby Supernova Factory Observations of SN 2005gj: Another Type Ia Supernova in a Massive Circumstellar Envelope,"['The Nearby Supernova Factory Collaboration', 'G. Aldering', 'P. Antilogus', 'S. Bailey', 'C. Baltay', 'A. Bauer', 'N. Blanc', 'S. Bongard', 'Y. Copin', 'E. Gangler', 'S. Gilles', 'R. Kessler', 'D. Kocevski', 'B. C. Lee', 'S. Loken', 'P. Nugent', 'R. Pain', 'E. Pecontal', 'R. Pereira', 'S. Perlmutter', 'D. Rabinowitz', 'G. Rigaudier', 'R. Scalzo', 'G. Smadja', 'R. C. Thomas', 'L. Wang', 'B. A. Weaver']",2006-06-20,arXiv:0606499v1,dyn_c175fadb01,paper_metadata,arxiv_0606499v1_nearby_supernova_factory_observations_of_sn_2005gj_another_type_ia_supernova_in_.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0606499v1,0.5,evidence text not found on recorded PDF page,
Light curves of five type Ia supernovae at intermediate redshift,"['R. Amanullah', 'V. Stanishev', 'A. Goobar', 'K. Schahmaneche', 'P. Astier', 'C. Balland', 'R. S. Ellis', 'S. Fabbro', 'D. Hardin', 'I. M. Hook', 'M. J. Irwin', 'R. G. McMahon', 'J. M. Mendez', 'M. Mouchet', 'R. Pain', 'P. Ruiz-Lapuente', 'N. A. Walton']",2007-11-09,arXiv:0711.1375v2,dyn_b7f4cabe9b,paper_metadata,arxiv_0711_1375v2_light_curves_of_five_type_ia_supernovae_at_intermediate_redshift.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/0711.1375v2,0.5,evidence text not found on recorded PDF page,
"A Physical Model for SN 2001ay, a normal, bright, extremely slowly declining Type Ia supernova","['E. Baron', 'P. Hoeflich', 'K. Krisciunas', 'I. Dominguez', 'A. M. Khokhlov', 'M. M. Phillips', 'N. Suntzeff', 'L. Wang']",2012-05-03,arXiv:1205.0814v1,dyn_83bf66a61d,paper_metadata,arxiv_1205_0814v1_a_physical_model_for_sn_2001ay_a_normal_bright_extremely_slowly_declining_type_i.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1205.0814v1,0.5,evidence text not found on recorded PDF page,
Late Light Curves of Normally-Luminous Type Ia Supernovae,"['J. C. Lair', 'M. D. Leising', 'P. A. Milne', 'G. G. Williams']",2006-01-05,arXiv:0601088v1,dyn_0224834ebe,paper_metadata,arxiv_0601088v1_late_light_curves_of_normally_luminous_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0601088v1,0.5,evidence text not found on recorded PDF page,
A year-long plateau in the late-time near-infrared light curves of Type Ia supernovae,"['Or Graur', 'Kate Maguire', 'Russell Ryan', 'Matt Nicholl', 'Arturo Avelino', 'Adam G. Riess', 'Luke Shingles', 'Ivo R. Seitenzahl', 'Robert Fisher']",2019-10-08,arXiv:1910.03614v1,dyn_1960f68588,paper_metadata,arxiv_1910_03614v1_a_year_long_plateau_in_the_late_time_near_infrared_light_curves_of_type_ia_super.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1910.03614v1,0.5,evidence text not found on recorded PDF page,
Type Ia supernova bolometric light curves and ejected mass estimates from the Nearby Supernova Factory,"['R. Scalzo', 'G. Aldering', 'P. Antilogus', 'C. Aragon', 'S. Bailey', 'C. Baltay', 'S. Bongard', 'C. Buton', 'F. Cellier-Holzem', 'M. Childress', 'N. Chotard', 'Y. Copin', 'H. K. Fakhouri', 'E. Gangler', 'J. Guy', 'A. Kim', 'M. Kowalski', 'M. Kromer', 'J. Nordin', 'P. Nugent', 'K. Paech', 'R. Pain', 'E. Pecontal', 'R. Pereira', 'S. Perlmutter', 'D. Rabinowitz', 'M. Rigault', 'K. Runge', 'C. Saunders', 'S. A. Sim', 'G. Smadja', 'C. Tao', 'S. Taubenberger', 'R. C. Thomas', 'B. A. Weaver']",2014-02-27,arXiv:1402.6842v1,dyn_912df6df05,paper_metadata,arxiv_1402_6842v1_type_ia_supernova_bolometric_light_curves_and_ejected_mass_estimates_from_the_ne.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1402.6842v1,0.5,evidence text not found on recorded PDF page,
The light curves of type Ia Supernova 2008gy,"['D. Yu. Tsvetkov', 'P. Balanutsa', 'E. S. Gorbovskoy', 'D. A. Kuvshinov', 'A. V. Krylov', 'T. Kopytova', 'T. Kryachko', 'S. Korotkiy']",2010-04-29,arXiv:1004.5200v1,dyn_a87c9f174a,paper_metadata,arxiv_1004_5200v1_the_light_curves_of_type_ia_supernova_2008gy.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1004.5200v1,0.5,evidence text not found on recorded PDF page,
Nearby Supernova Factory Observations of SN 2006D: On Sporadic Carbon Signatures in Early Type Ia Supernova Spectra,"['The Nearby Supernova Factory', ':', 'R. C. Thomas', 'G. Aldering', 'P. Antilogus', 'C. Aragon', 'S. Bailey', 'C. Baltay', 'E. Baron', 'A. Bauer', 'C. Buton', 'S. Bongard', 'Y. Copin', 'E. Gangler', 'S. Gilles', 'R. Kessler', 'S. Loken', 'P. Nugent', 'R. Pain', 'J. Parrent', 'E. Pecontal', 'R. Pereira', 'S. Perlmutter', 'D. Rabinowitz', 'G. Rigaudier', 'K. Runge', 'R. Scalzo', 'G. Smadja', 'L. Wang', 'B. A. Weaver']",2006-11-10,arXiv:0611356v1,dyn_ab3ef21c7b,paper_metadata,arxiv_0611356v1_nearby_supernova_factory_observations_of_sn_2006d_on_sporadic_carbon_signatures_.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0611356v1,0.5,evidence text not found on recorded PDF page,
Carnegie Supernova Project: Fast-Declining Type Ia Supernovae as Cosmological Distance Indicators,"['M. M. Phillips', 'Syed A. Uddin', 'Christopher R. Burns', 'Nicholas B. Suntzeff', 'C. Ashall', 'E. Baron', 'L. Galbany', 'P. Hoeflich', 'E. Y. Hsiao', 'Nidia Morrell', 'S. E. Persson', 'Maximilian Stritzinger', 'Carlos Contreras', 'Wendy L. Freedman', 'Kevin Krisciunas', 'S. Kumar', 'J. Lu', 'Anthony L. Piro', 'M. Shahbandeh']",2025-09-08,arXiv:2509.07093v3,dyn_34f99929e6,paper_metadata,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2509.07093v3,0.5,evidence text not found on recorded PDF page,
The Rise Times and Bolometric Light Curve of SN 1994D: Constraints on Models of Type Ia Supernovae,"['William D. Vacca', 'Bruno Leibundgut']",1996-08-28,arXiv:9608181v1,dyn_2287617a15,paper_metadata,arxiv_9608181v1_the_rise_times_and_bolometric_light_curve_of_sn_1994d_constraints_on_models_of_t.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9608181v1,0.5,evidence text not found on recorded PDF page,
